Data Movimento;Banco;Historico;Valor
07/08/2019;CAIXA;ENVIO TEV;3.000,00 D
08/08/2019;CAIXA;ENVIO TEV;3.000,00 D
12/08/2019;CAIXA;ENVIO TEV;3.000,00 D
13/08/2019;CAIXA;ENVIO TEV;3.000,00 D
28/08/2019;CAIXA;CP MAESTRO;410,11 D
02/09/2019;CAIXA;CT SALARIO;7.817,65 C
03/09/2019;CAIXA;SAQUE ATM;1.500,00 D
04/09/2019;CAIXA;SAQUE ATM;1.500,00 D
05/09/2019;CAIXA;SAQUE ATM;1.500,00 D
25/09/2019;CAIXA;ENVIO TEV;1.500,00 D
01/10/2019;CAIXA;CT SALARIO;7.817,65 C
01/10/2019;CAIXA;SAQUE ATM;1.500,00 D
03/10/2019;CAIXA;CP MAESTRO;785,28 D
17/10/2019;CAIXA;SAQUE ATM;1.500,00 D
31/10/2019;CAIXA;SAQUE ATM;1.500,00 D
31/10/2019;CAIXA;CP MAESTRO;400,19 D
01/11/2019;CAIXA;CT SALARIO;7.817,65 C
04/11/2019;CAIXA;SAQUE ATM;1.500,00 D
25/11/2019;CAIXA;SAQUE ATM;1.500,00 D
28/11/2019;CAIXA;CP MAESTRO;1.759,00 D
29/11/2019;CAIXA;SAQUE ATM;1.500,00 D
02/12/2019;CAIXA;CT SALARIO;11.216,06 C
02/12/2019;CAIXA;SAQUE ATM;1.500,00 D
03/12/2019;CAIXA;CP MAESTRO;432,54 D
06/12/2019;CAIXA;APLICACAO;9.138,77 D
09/12/2019;CAIXA;SAQUE ATM;1.500,00 D
19/12/2019;CAIXA;SAQUE ATM;1.500,00 D
23/12/2019;CAIXA;SAQUE ATM;1.500,00 D
24/12/2019;CAIXA;SAQUE ATM;1.500,00 D
26/12/2019;CAIXA;SAQUE ATM;1.500,00 D
30/12/2019;CAIXA;SAQUE B24H;1.500,00 D
30/12/2019;CAIXA;CP MAESTRO;751,79 D
02/01/2020;CAIXA;CT SALARIO;7.817,65 C
02/01/2020;CAIXA;SAQUE ATM;1.500,00 D
02/01/2020;CAIXA;SAQUE B24H;1.000,00 D
03/01/2020;CAIXA;SAQUE ATM;1.500,00 D
06/01/2020;CAIXA;SAQUE B24H;1.500,00 D
06/01/2020;CAIXA;SAQUE ATM;1.500,00 D
07/01/2020;CAIXA;SAQUE ATM;1.500,00 D
